,property,expected_verdict,c_file,c_file_abs,yml_path,folder,strat_key
127,no-overflow,False,c/termination-crafted-lit/LeikeHeizmann-WST2014-Ex5.c,/workspace/sv-benchmarks/c/termination-crafted-lit/LeikeHeizmann-WST2014-Ex5.c,c/termination-crafted-lit/LeikeHeizmann-WST2014-Ex5.yml,termination-crafted-lit,no-overflow_False_termination-crafted-lit
249,termination,True,c/recursive-simple/id_b2_o3.c,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,c/recursive-simple/id_b2_o3.yml,recursive-simple,termination_True_recursive-simple
93,no-overflow,True,c/recursive-simple/id2_b3_o5.c,/workspace/sv-benchmarks/c/recursive-simple/id2_b3_o5.c,c/recursive-simple/id2_b3_o5.yml,recursive-simple,no-overflow_True_recursive-simple
88,no-overflow,True,c/bitvector/s3_clnt_2.BV.c.cil-2a.c,/workspace/sv-benchmarks/c/bitvector/s3_clnt_2.BV.c.cil-2a.c,c/bitvector/s3_clnt_2.BV.c.cil-2a.yml,bitvector,no-overflow_True_bitvector
660,valid-memsafety,True,c/termination-crafted/McCarthy91_Recursion.c,/workspace/sv-benchmarks/c/termination-crafted/McCarthy91_Recursion.c,c/termination-crafted/McCarthy91_Recursion.yml,termination-crafted,valid-memsafety_True_termination-crafted
601,valid-memsafety,True,c/loop-industry-pattern/aiob_4.c.v+lh-reducer.c,/workspace/sv-benchmarks/c/loop-industry-pattern/aiob_4.c.v+lh-reducer.c,c/loop-industry-pattern/aiob_4.c.v+lh-reducer.yml,loop-industry-pattern,valid-memsafety_True_loop-industry-pattern
345,termination,False,c/termination-restricted-15/Swingers.c,/workspace/sv-benchmarks/c/termination-restricted-15/Swingers.c,c/termination-restricted-15/Swingers.yml,termination-restricted-15,termination_False_termination-restricted-15
158,no-overflow,False,c/termination-crafted/Thun-1.c,/workspace/sv-benchmarks/c/termination-crafted/Thun-1.c,c/termination-crafted/Thun-1.yml,termination-crafted,no-overflow_False_termination-crafted
436,unreach-call,True,c/loop-invgen/id_build.i.p+nlh-reducer.c,/workspace/sv-benchmarks/c/loop-invgen/id_build.i.p+nlh-reducer.c,c/loop-invgen/id_build.i.p+nlh-reducer.yml,loop-invgen,unreach-call_True_loop-invgen
216,termination,True,c/loops/for_bounded_loop1.c,/workspace/sv-benchmarks/c/loops/for_bounded_loop1.c,c/loops/for_bounded_loop1.yml,loops,termination_True_loops
75,no-overflow,True,c/termination-restricted-15/java_Nested.c,/workspace/sv-benchmarks/c/termination-restricted-15/java_Nested.c,c/termination-restricted-15/java_Nested.yml,termination-restricted-15,no-overflow_True_termination-restricted-15
66,no-overflow,True,c/termination-restricted-15/NO_03.c,/workspace/sv-benchmarks/c/termination-restricted-15/NO_03.c,c/termination-restricted-15/NO_03.yml,termination-restricted-15,no-overflow_True_termination-restricted-15
250,termination,True,c/termination-crafted/Thun-2.c,/workspace/sv-benchmarks/c/termination-crafted/Thun-2.c,c/termination-crafted/Thun-2.yml,termination-crafted,termination_True_termination-crafted
115,no-overflow,False,c/termination-bwb/and-02-false.c,/workspace/sv-benchmarks/c/termination-bwb/and-02-false.c,c/termination-bwb/and-02-false.yml,termination-bwb,no-overflow_False_termination-bwb
678,valid-memsafety,False,c/array-memsafety/cstrncat_unsafe.c,/workspace/sv-benchmarks/c/array-memsafety/cstrncat_unsafe.c,c/array-memsafety/cstrncat_unsafe.yml,array-memsafety,valid-memsafety_False_array-memsafety
288,termination,True,c/termination-numeric/rec_counter3.c,/workspace/sv-benchmarks/c/termination-numeric/rec_counter3.c,c/termination-numeric/rec_counter3.yml,termination-numeric,termination_True_termination-numeric
522,unreach-call,False,c/bitvector-loops/diamond_2-1.c,/workspace/sv-benchmarks/c/bitvector-loops/diamond_2-1.c,c/bitvector-loops/diamond_2-1.yml,bitvector-loops,unreach-call_False_bitvector-loops
78,no-overflow,True,c/recursive-simple/id_i5_o5-2.c,/workspace/sv-benchmarks/c/recursive-simple/id_i5_o5-2.c,c/recursive-simple/id_i5_o5-2.yml,recursive-simple,no-overflow_True_recursive-simple
144,no-overflow,False,c/termination-crafted-lit/gcd1.c,/workspace/sv-benchmarks/c/termination-crafted-lit/gcd1.c,c/termination-crafted-lit/gcd1.yml,termination-crafted-lit,no-overflow_False_termination-crafted-lit
0,def-behavior,False,c/termination-crafted/Arrays03-ValueRestictsIndex-1.c,/workspace/sv-benchmarks/c/termination-crafted/Arrays03-ValueRestictsIndex-1.c,c/termination-crafted/Arrays03-ValueRestictsIndex-1.yml,termination-crafted,def-behavior_False_termination-crafted
175,no-overflow,False,c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex3.06.c,/workspace/sv-benchmarks/c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex3.06.c,c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex3.06.yml,termination-crafted-lit,no-overflow_False_termination-crafted-lit
372,termination,False,c/bitvector/jain_4-2.c,/workspace/sv-benchmarks/c/bitvector/jain_4-2.c,c/bitvector/jain_4-2.yml,bitvector,termination_False_bitvector
50,no-overflow,True,c/recursive/recHanoi01.c,/workspace/sv-benchmarks/c/recursive/recHanoi01.c,c/recursive/recHanoi01.yml,recursive,no-overflow_True_recursive
683,valid-memsafety,False,c/array-memsafety/selectionsort_unsafe.c,/workspace/sv-benchmarks/c/array-memsafety/selectionsort_unsafe.c,c/array-memsafety/selectionsort_unsafe.yml,array-memsafety,valid-memsafety_False_array-memsafety
58,no-overflow,True,c/loops-crafted-1/watermelon.c,/workspace/sv-benchmarks/c/loops-crafted-1/watermelon.c,c/loops-crafted-1/watermelon.yml,loops-crafted-1,no-overflow_True_loops-crafted-1
551,unreach-call,False,c/array-tiling/mlceu.c,/workspace/sv-benchmarks/c/array-tiling/mlceu.c,c/array-tiling/mlceu.yml,array-tiling,unreach-call_False_array-tiling
327,termination,False,c/termination-crafted-lit/BradleyMannaSipma-CAV2005-Fig1-modified.c,/workspace/sv-benchmarks/c/termination-crafted-lit/BradleyMannaSipma-CAV2005-Fig1-modified.c,c/termination-crafted-lit/BradleyMannaSipma-CAV2005-Fig1-modified.yml,termination-crafted-lit,termination_False_termination-crafted-lit
206,termination,True,c/loop-simple/nested_1.c,/workspace/sv-benchmarks/c/loop-simple/nested_1.c,c/loop-simple/nested_1.yml,loop-simple,termination_True_loop-simple
550,unreach-call,False,c/array-fpi/brs2f.c,/workspace/sv-benchmarks/c/array-fpi/brs2f.c,c/array-fpi/brs2f.yml,array-fpi,unreach-call_False_array-fpi
415,unreach-call,True,c/loops-crafted-1/vnew1.c,/workspace/sv-benchmarks/c/loops-crafted-1/vnew1.c,c/loops-crafted-1/vnew1.yml,loops-crafted-1,unreach-call_True_loops-crafted-1
401,unreach-call,True,c/bitvector/num_conversion_1.c,/workspace/sv-benchmarks/c/bitvector/num_conversion_1.c,c/bitvector/num_conversion_1.yml,bitvector,unreach-call_True_bitvector
373,termination,False,c/termination-crafted/Rotation180-1.c,/workspace/sv-benchmarks/c/termination-crafted/Rotation180-1.c,c/termination-crafted/Rotation180-1.yml,termination-crafted,termination_False_termination-crafted
427,unreach-call,True,c/loop-industry-pattern/aiob_2.c,/workspace/sv-benchmarks/c/loop-industry-pattern/aiob_2.c,c/loop-industry-pattern/aiob_2.yml,loop-industry-pattern,unreach-call_True_loop-industry-pattern
639,valid-memsafety,True,c/loops/heavy-2.c,/workspace/sv-benchmarks/c/loops/heavy-2.c,c/loops/heavy-2.yml,loops,valid-memsafety_True_loops
450,unreach-call,True,c/loop-acceleration/diamond_1-1.c,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,c/loop-acceleration/diamond_1-1.yml,loop-acceleration,unreach-call_True_loop-acceleration
644,valid-memsafety,True,c/loop-acceleration/array_1-2.c,/workspace/sv-benchmarks/c/loop-acceleration/array_1-2.c,c/loop-acceleration/array_1-2.yml,loop-acceleration,valid-memsafety_True_loop-acceleration
578,unreach-call,False,c/loop-floats-scientific-comp/loop2-1.c,/workspace/sv-benchmarks/c/loop-floats-scientific-comp/loop2-1.c,c/loop-floats-scientific-comp/loop2-1.yml,loop-floats-scientific-comp,unreach-call_False_loop-floats-scientific-comp
126,no-overflow,False,c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex2.05.c,/workspace/sv-benchmarks/c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex2.05.c,c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex2.05.yml,termination-crafted-lit,no-overflow_False_termination-crafted-lit
684,valid-memsafety,False,c/loops/bubble_sort-1.c,/workspace/sv-benchmarks/c/loops/bubble_sort-1.c,c/loops/bubble_sort-1.yml,loops,valid-memsafety_False_loops
323,termination,False,c/recursive/Primes.c,/workspace/sv-benchmarks/c/recursive/Primes.c,c/recursive/Primes.yml,recursive,termination_False_recursive
577,unreach-call,False,c/loop-acceleration/phases_1-2.c,/workspace/sv-benchmarks/c/loop-acceleration/phases_1-2.c,c/loop-acceleration/phases_1-2.yml,loop-acceleration,unreach-call_False_loop-acceleration
442,unreach-call,True,c/loops-crafted-1/in-de61.c,/workspace/sv-benchmarks/c/loops-crafted-1/in-de61.c,c/loops-crafted-1/in-de61.yml,loops-crafted-1,unreach-call_True_loops-crafted-1
663,valid-memsafety,True,c/loop-industry-pattern/aiob_4.c.v+lhb-reducer.c,/workspace/sv-benchmarks/c/loop-industry-pattern/aiob_4.c.v+lhb-reducer.c,c/loop-industry-pattern/aiob_4.c.v+lhb-reducer.yml,loop-industry-pattern,valid-memsafety_True_loop-industry-pattern
519,unreach-call,False,c/loops/nec20.c,/workspace/sv-benchmarks/c/loops/nec20.c,c/loops/nec20.yml,loops,unreach-call_False_loops
670,valid-memsafety,False,c/loops/matrix-2.c,/workspace/sv-benchmarks/c/loops/matrix-2.c,c/loops/matrix-2.yml,loops,valid-memsafety_False_loops
295,termination,True,c/bitvector-regression/implicitfloatconversion.c,/workspace/sv-benchmarks/c/bitvector-regression/implicitfloatconversion.c,c/bitvector-regression/implicitfloatconversion.yml,bitvector-regression,termination_True_bitvector-regression
393,termination,False,c/loops/while_infinite_loop_1.c,/workspace/sv-benchmarks/c/loops/while_infinite_loop_1.c,c/loops/while_infinite_loop_1.yml,loops,termination_False_loops
585,unreach-call,False,c/recursive/Fibonacci04.c,/workspace/sv-benchmarks/c/recursive/Fibonacci04.c,c/recursive/Fibonacci04.yml,recursive,unreach-call_False_recursive
561,unreach-call,False,c/loop-simple/nested_1b.c,/workspace/sv-benchmarks/c/loop-simple/nested_1b.c,c/loop-simple/nested_1b.yml,loop-simple,unreach-call_False_loop-simple
685,valid-memsafety,False,c/loops/insertion_sort-2.c,/workspace/sv-benchmarks/c/loops/insertion_sort-2.c,c/loops/insertion_sort-2.yml,loops,valid-memsafety_False_loops
305,termination,False,c/termination-nla/dijkstra1-both-nt.c,/workspace/sv-benchmarks/c/termination-nla/dijkstra1-both-nt.c,c/termination-nla/dijkstra1-both-nt.yml,termination-nla,termination_False_termination-nla
244,termination,True,c/termination-crafted-lit/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.c,/workspace/sv-benchmarks/c/termination-crafted-lit/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.c,c/termination-crafted-lit/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.yml,termination-crafted-lit,termination_True_termination-crafted-lit
4,def-behavior,False,c/termination-crafted/SyntaxSupportPointer01-3.c,/workspace/sv-benchmarks/c/termination-crafted/SyntaxSupportPointer01-3.c,c/termination-crafted/SyntaxSupportPointer01-3.yml,termination-crafted,def-behavior_False_termination-crafted
430,unreach-call,True,c/array-cav19/array_min_and_copy_shift_sum_add.c,/workspace/sv-benchmarks/c/array-cav19/array_min_and_copy_shift_sum_add.c,c/array-cav19/array_min_and_copy_shift_sum_add.yml,array-cav19,unreach-call_True_array-cav19
136,no-overflow,False,c/recursive-simple/id_b3_o5-1.c,/workspace/sv-benchmarks/c/recursive-simple/id_b3_o5-1.c,c/recursive-simple/id_b3_o5-1.yml,recursive-simple,no-overflow_False_recursive-simple
2,def-behavior,False,c/termination-crafted/LexIndexValue-Array-2.c,/workspace/sv-benchmarks/c/termination-crafted/LexIndexValue-Array-2.c,c/termination-crafted/LexIndexValue-Array-2.yml,termination-crafted,def-behavior_False_termination-crafted
150,no-overflow,False,c/termination-nla/geo1-both-nt.c,/workspace/sv-benchmarks/c/termination-nla/geo1-both-nt.c,c/termination-nla/geo1-both-nt.yml,termination-nla,no-overflow_False_termination-nla
635,valid-memsafety,True,c/loops/array-1.c,/workspace/sv-benchmarks/c/loops/array-1.c,c/loops/array-1.yml,loops,valid-memsafety_True_loops
16,no-overflow,True,c/termination-restricted-15/PastaA10.c,/workspace/sv-benchmarks/c/termination-restricted-15/PastaA10.c,c/termination-restricted-15/PastaA10.yml,termination-restricted-15,no-overflow_True_termination-restricted-15
669,valid-memsafety,True,c/termination-crafted/Copenhagen_disj-2.c,/workspace/sv-benchmarks/c/termination-crafted/Copenhagen_disj-2.c,c/termination-crafted/Copenhagen_disj-2.yml,termination-crafted,valid-memsafety_True_termination-crafted
472,unreach-call,True,c/array-programs/partial_mod_count_limited_4.c,/workspace/sv-benchmarks/c/array-programs/partial_mod_count_limited_4.c,c/array-programs/partial_mod_count_limited_4.yml,array-programs,unreach-call_True_array-programs
679,valid-memsafety,False,c/termination-crafted/LexIndexValue-Pointer-3.c,/workspace/sv-benchmarks/c/termination-crafted/LexIndexValue-Pointer-3.c,c/termination-crafted/LexIndexValue-Pointer-3.yml,termination-crafted,valid-memsafety_False_termination-crafted
123,no-overflow,False,c/bitvector/s3_clnt_1.BV.c.cil-1a.c,/workspace/sv-benchmarks/c/bitvector/s3_clnt_1.BV.c.cil-1a.c,c/bitvector/s3_clnt_1.BV.c.cil-1a.yml,bitvector,no-overflow_False_bitvector
569,unreach-call,False,c/loops-crafted-1/Mono3_1.c,/workspace/sv-benchmarks/c/loops-crafted-1/Mono3_1.c,c/loops-crafted-1/Mono3_1.yml,loops-crafted-1,unreach-call_False_loops-crafted-1
615,valid-memsafety,True,c/loop-industry-pattern/aiob_4.c.v+cfa-reducer.c,/workspace/sv-benchmarks/c/loop-industry-pattern/aiob_4.c.v+cfa-reducer.c,c/loop-industry-pattern/aiob_4.c.v+cfa-reducer.yml,loop-industry-pattern,valid-memsafety_True_loop-industry-pattern
38,no-overflow,True,c/termination-numeric/Fibonacci01-2.c,/workspace/sv-benchmarks/c/termination-numeric/Fibonacci01-2.c,c/termination-numeric/Fibonacci01-2.yml,termination-numeric,no-overflow_True_termination-numeric
526,unreach-call,False,c/loop-invariants/linear-inequality-inv-b.c,/workspace/sv-benchmarks/c/loop-invariants/linear-inequality-inv-b.c,c/loop-invariants/linear-inequality-inv-b.yml,loop-invariants,unreach-call_False_loop-invariants
470,unreach-call,True,c/array-crafted/zero_sum_const3.c,/workspace/sv-benchmarks/c/array-crafted/zero_sum_const3.c,c/array-crafted/zero_sum_const3.yml,array-crafted,unreach-call_True_array-crafted
