property,original_index,s999_pass,s999_complete,s999_errors,s123_pass,s123_complete,s123_errors,s42_pass,s42_complete,s42_errors
valid-memsafety,37,False,,no code,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 8}, ""endPos"": {""line"": 2, ""column"": 17}, ""data"": ""unexpected token 'instance'; expected ']'""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 17}, ""endPos"": {""line"": 2, ""column"": 18}, ""data"": ""unexpected token ']'; expected ':'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 0}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""failed to compile definition, consider marking it as 'noncomputable' because it depends on 'Classical.typeDecidableEq', and it does not have executable code""}]"
termination,38,True,True,[],True,True,[],True,False,[]
valid-memsafety,39,True,False,[],True,True,[],True,True,[]
no-overflow,40,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 24}, ""endPos"": {""line"": 4, ""column"": 2}, ""data"": ""invalid {...} notation, expected type is not of the form (C ...)\n  Unit \u2192 State""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 2}, ""endPos"": {""line"": 4, ""column"": 3}, ""data"": ""unexpected token '|'; expected command""}]",False,,no code
termination,41,True,True,[],True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 7}, ""endPos"": {""line"": 14, ""column"": 10}, ""data"": ""unexpected token 'set_option'; expected 'else'""}, {""severity"": ""error"", ""pos"": {""line"": 24, ""column"": 64}, ""endPos"": {""line"": 25, ""column"": 7}, ""data"": ""unsolved goals\nn\u271d : \u2124\n\u22a2 \u2200 (p q r h : \u2124), main n\u271d p q r h = (0 : \u2124)""}]"
termination,42,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 43}, ""endPos"": {""line"": 17, ""column"": 7}, ""data"": ""unsolved goals\nn\u271d : \u2115\n\u22a2 id n\u271d < (3 : \u2115)""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]"
no-overflow,43,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 9}, ""endPos"": {""line"": 12, ""column"": 9}, ""data"": ""unexpected identifier; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 11}, ""endPos"": {""line"": 9, ""column"": 7}, ""data"": ""unexpected token 'let'; expected 'else'""}]"
termination,44,True,False,[],False,,no code,True,True,[]
no-overflow,45,True,True,[],True,True,[],True,True,[]
valid-memsafety,46,False,,no code,True,False,[],True,True,[]
no-overflow,47,True,True,[],True,True,[],False,False,
unreach-call,48,True,True,[],False,,no code,True,False,[]
valid-memsafety,49,True,True,[],True,True,[],True,True,[]
